model,dx,dy,k,h,noise_dist,noise_std,seed_rep,loss_phi,mse
preANM,2,2,2,square,uniform,2.0,7,power_0.5,0.0010549399303272367
preANM,2,2,2,square,uniform,2.0,7,power_1,0.28925371170043945
preANM,2,2,2,square,uniform,2.0,7,exp,0.002997922245413065
preANM,2,2,2,square,uniform,2.0,7,log1p,0.002663347404450178
preANM,2,2,2,square,uniform,2.0,7,frac,0.0013561968225985765
preANM,2,2,2,square,uniform,2.0,8,power_0.5,0.02933625504374504
preANM,2,2,2,square,uniform,2.0,8,power_1,0.3150155544281006
preANM,2,2,2,square,uniform,2.0,8,exp,0.037013374269008636
preANM,2,2,2,square,uniform,2.0,8,log1p,0.032786838710308075
preANM,2,2,2,square,uniform,2.0,8,frac,0.03645192086696625
preANM,2,2,2,square,uniform,2.0,9,power_0.5,0.11802209168672562
preANM,2,2,2,square,uniform,2.0,9,power_1,3.211918592453003
preANM,2,2,2,square,uniform,2.0,9,exp,0.09666825830936432
preANM,2,2,2,square,uniform,2.0,9,log1p,0.17537865042686462
preANM,2,2,2,square,uniform,2.0,9,frac,0.04471580684185028
preANM,2,2,2,square,uniform,3.0,0,power_0.5,2.6863911151885986
preANM,2,2,2,square,uniform,3.0,0,power_1,10.161209106445312
preANM,2,2,2,square,uniform,3.0,0,exp,2.630779981613159
preANM,2,2,2,square,uniform,3.0,0,log1p,2.504626989364624
preANM,2,2,2,square,uniform,3.0,0,frac,2.6679015159606934
preANM,2,2,2,square,uniform,3.0,1,power_0.5,0.006217867601662874
preANM,2,2,2,square,uniform,3.0,1,power_1,3.4771687984466553
preANM,2,2,2,square,uniform,3.0,1,exp,0.023198314011096954
preANM,2,2,2,square,uniform,3.0,1,log1p,0.020235108211636543
preANM,2,2,2,square,uniform,3.0,1,frac,0.009771298617124557
preANM,2,2,2,square,uniform,3.0,2,power_0.5,0.03392145037651062
preANM,2,2,2,square,uniform,3.0,2,power_1,0.7267559766769409
preANM,2,2,2,square,uniform,3.0,2,exp,0.039453618228435516
preANM,2,2,2,square,uniform,3.0,2,log1p,0.037062082439661026
preANM,2,2,2,square,uniform,3.0,2,frac,0.01955721713602543
preANM,2,2,2,square,uniform,3.0,3,power_0.5,0.06265998631715775
preANM,2,2,2,square,uniform,3.0,3,power_1,0.06677582114934921
preANM,2,2,2,square,uniform,3.0,3,exp,0.07991878688335419
preANM,2,2,2,square,uniform,3.0,3,log1p,0.0573459155857563
preANM,2,2,2,square,uniform,3.0,3,frac,0.06956833600997925
preANM,2,2,2,square,uniform,3.0,4,power_0.5,0.8500524163246155
preANM,2,2,2,square,uniform,3.0,4,power_1,578.1602783203125
preANM,2,2,2,square,uniform,3.0,4,exp,0.942503035068512
preANM,2,2,2,square,uniform,3.0,4,log1p,1.440335988998413
preANM,2,2,2,square,uniform,3.0,4,frac,0.4247434139251709
preANM,2,2,2,square,uniform,3.0,5,power_0.5,0.019603246822953224
preANM,2,2,2,square,uniform,3.0,5,power_1,1.1597331762313843
preANM,2,2,2,square,uniform,3.0,5,exp,0.031219951808452606
preANM,2,2,2,square,uniform,3.0,5,log1p,0.07155431061983109
preANM,2,2,2,square,uniform,3.0,5,frac,0.016875188797712326
preANM,2,2,2,square,uniform,3.0,6,power_0.5,3.0660643577575684
preANM,2,2,2,square,uniform,3.0,6,power_1,817.2894287109375
preANM,2,2,2,square,uniform,3.0,6,exp,3.7831873893737793
preANM,2,2,2,square,uniform,3.0,6,log1p,5.4206013679504395
preANM,2,2,2,square,uniform,3.0,6,frac,2.014218807220459
preANM,2,2,2,square,uniform,3.0,7,power_0.5,0.0031121214851737022
preANM,2,2,2,square,uniform,3.0,7,power_1,0.30166444182395935
preANM,2,2,2,square,uniform,3.0,7,exp,0.009591405279934406
preANM,2,2,2,square,uniform,3.0,7,log1p,0.008031418547034264
preANM,2,2,2,square,uniform,3.0,7,frac,0.005219702608883381
preANM,2,2,2,square,uniform,3.0,8,power_0.5,0.20392073690891266
preANM,2,2,2,square,uniform,3.0,8,power_1,0.2990453839302063
preANM,2,2,2,square,uniform,3.0,8,exp,0.18085262179374695
preANM,2,2,2,square,uniform,3.0,8,log1p,0.19787751138210297
preANM,2,2,2,square,uniform,3.0,8,frac,0.22289399802684784
preANM,2,2,2,square,uniform,3.0,9,power_0.5,0.31335943937301636
preANM,2,2,2,square,uniform,3.0,9,power_1,5.160468578338623
preANM,2,2,2,square,uniform,3.0,9,exp,0.29477939009666443
preANM,2,2,2,square,uniform,3.0,9,log1p,0.37565311789512634
preANM,2,2,2,square,uniform,3.0,9,frac,0.1562841534614563
